a a l e n d	VERB type=participle tense=present
a c k e r t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
a c k e r t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
a c k e r t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
a c k e r t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
a c k e r t	VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
a c k r e	VERB person=1st number=singular tense=present mood=indicative
a d a p t i e r t e n n	NOUN case=dative number=plural
a d a p t i e r t e n	NOUN case=nominative number=plural ; NOUN case=genitive number=singular ; NOUN case=genitive number=plural ; NOUN case=dative number=singular ; NOUN case=accusative number=singular ; NOUN case=accusative number=plural
a d a p t i e r t e	NOUN case=nominative number=singular
a d d i e r e n d	VERB type=participle tense=present
a d d i e r e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
a d d i e r e s t	VERB person=2nd number=singular tense=present mood=subjunctive
a d d i e r e t	VERB person=2nd number=plural tense=present mood=subjunctive
a d d i e r e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
a d d i e r s t	VERB person=2nd number=singular tense=present mood=indicative
a d d i e r t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
a d d i e r t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
a d d i e r t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
a d d i e r t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
a d d i e r t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
a d d u k t e n	NOUN case=dative number=plural
a d d u k t e	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=accusative number=plural
a d d u k t e s	NOUN case=genitive number=singular
a d d u k t	NOUN case=nominative number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a d j e k t i v e n	NOUN case=dative number=plural
a d j e k t i v e	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=accusative number=plural
a d j e k t i v	NOUN case=nominative number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a d j e k t i v s	NOUN case=genitive number=singular
a d l e r n	NOUN case=dative number=plural
a d l e r	NOUN case=nominative number=singular ; NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=singular ; NOUN case=accusative number=singular ; NOUN case=accusative number=plural
a d l e r s	NOUN case=genitive number=singular
a d o p t i e r e n d	VERB type=participle tense=present
a d o p t i e r e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
a d o p t i e r e s t	VERB person=2nd number=singular tense=present mood=subjunctive
a d o p t i e r e t	VERB person=2nd number=plural tense=present mood=subjunctive
a d o p t i e r e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
a d o p t i e r s t	VERB person=2nd number=singular tense=present mood=indicative
a d o p t i e r t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
a d o p t i e r t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
a d o p t i e r t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
a d o p t i e r t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
a d o p t i e r t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
a d s o r b i e r e n d	VERB type=participle tense=present
a d s o r b i e r e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
a d s o r b i e r e s t	VERB person=2nd number=singular tense=present mood=subjunctive
a d s o r b i e r e t	VERB person=2nd number=plural tense=present mood=subjunctive
a d s o r b i e r e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
a d s o r b i e r s t	VERB person=2nd number=singular tense=present mood=indicative
a d s o r b i e r t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
a d s o r b i e r t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
a d s o r b i e r t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
a d s o r b i e r t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
a d s o r b i e r t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
a d v e n t e n	NOUN case=dative number=plural
a d v e n t e	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=accusative number=plural
a d v e n t e s	NOUN case=genitive number=singular
a d v e n t	NOUN case=nominative number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a d v e n t s k a l e n d e r n	NOUN case=dative number=plural
a d v e n t s k a l e n d e r	NOUN case=nominative number=singular ; NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=singular ; NOUN case=accusative number=singular ; NOUN case=accusative number=plural
a d v e n t s k a l e n d e r s	NOUN case=genitive number=singular
a e r o g e l e n	NOUN case=dative number=plural
a e r o g e l e	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=accusative number=plural
a e r o g e l	NOUN case=nominative number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a e r o g e l s	NOUN case=genitive number=singular
a e r o s o l e n	NOUN case=dative number=plural
a e r o s o l e	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=accusative number=plural
a e r o s o l	NOUN case=nominative number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a e r o s o l s	NOUN case=genitive number=singular
a f f e n p i n s c h e r n	NOUN case=dative number=plural
a f f e n p i n s c h e r	NOUN case=nominative number=singular ; NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=singular ; NOUN case=accusative number=singular ; NOUN case=accusative number=plural
a f f e n p i n s c h e r s	NOUN case=genitive number=singular
a g i e r e n d	VERB type=participle tense=present
a g i e r e n	VERB type=infinitive ; VERB person=1st number=plural tense=present mood=indicative ; VERB person=3rd number=plural tense=present mood=indicative ; VERB person=1st number=plural tense=present mood=subjunctive ; VERB person=3rd number=plural tense=present mood=subjunctive
a g i e r e s t	VERB person=2nd number=singular tense=present mood=subjunctive
a g i e r e t	VERB person=2nd number=plural tense=present mood=subjunctive
a g i e r e	VERB person=1st number=singular tense=present mood=indicative ; VERB person=1st number=singular tense=present mood=subjunctive ; VERB person=3rd number=singular tense=present mood=subjunctive
a g i e r s t	VERB person=2nd number=singular tense=present mood=indicative
a g i e r t e n	VERB person=1st number=plural tense=past mood=indicative ; VERB person=3rd number=plural tense=past mood=indicative ; VERB person=1st number=plural tense=past mood=subjunctive ; VERB person=3rd number=plural tense=past mood=subjunctive
a g i e r t e s t	VERB person=2nd number=singular tense=past mood=indicative ; VERB person=2nd number=singular tense=past mood=subjunctive
a g i e r t e t	VERB person=2nd number=plural tense=past mood=indicative ; VERB person=2nd number=plural tense=past mood=subjunctive
a g i e r t e	VERB person=1st number=singular tense=past mood=indicative ; VERB person=3rd number=singular tense=past mood=indicative ; VERB person=1st number=singular tense=past mood=subjunctive ; VERB person=3rd number=singular tense=past mood=subjunctive
a g i e r t	VERB type=participle tense=past ; VERB person=3rd number=singular tense=present mood=indicative ; VERB person=2nd number=plural tense=present mood=indicative
a g o r a p h o b i e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
a g o r a p h o b i e	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
a e g y p t o l o g i n n e n	NOUN case=nominative number=plural ; NOUN case=genitive number=plural ; NOUN case=dative number=plural ; NOUN case=accusative number=plural
a e g y p t o l o g i n	NOUN case=nominative number=singular ; NOUN case=genitive number=singular ; NOUN case=dative number=singular ; NOUN case=accusative number=singular
